measure,location,sample date,value
Water temperature,Boonsri,11-Jan-98,2
Dissolved oxygen,Boonsri,11-Jan-98,9.1
Ammonium,Boonsri,11-Jan-98,0.33
Nitrites,Boonsri,11-Jan-98,0.01
Nitrates,Boonsri,11-Jan-98,1.47
Orthophosphate-phosphorus,Boonsri,11-Jan-98,0.06
Total phosphorus,Boonsri,11-Jan-98,0.09
Sodium,Boonsri,11-Jan-98,13.9
Potassium,Boonsri,11-Jan-98,3.5
Calcium,Boonsri,11-Jan-98,52
Magnesium,Boonsri,11-Jan-98,9.7
Chlorides,Boonsri,11-Jan-98,19.2
Sulphates,Boonsri,11-Jan-98,36.7
Iron,Boonsri,11-Jan-98,4.95
Manganese,Boonsri,11-Jan-98,0.01
Zinc,Boonsri,11-Jan-98,21
Copper,Boonsri,11-Jan-98,22
Chromium,Boonsri,11-Jan-98,17
Lead,Boonsri,11-Jan-98,0
Cadmium,Boonsri,11-Jan-98,0
Mercury,Boonsri,11-Jan-98,0
Nickel,Boonsri,11-Jan-98,5
Arsenic,Boonsri,11-Jan-98,0
Biochemical Oxygen,Boonsri,11-Jan-98,3.6
Chemical Oxygen Demand (Cr),Boonsri,11-Jan-98,13.8
Chemical Oxygen Demand (Mn),Boonsri,11-Jan-98,4.8
AOX,Boonsri,11-Jan-98,0
Atrazine,Boonsri,11-Jan-98,0
Cesium,Boonsri,11-Jan-98,0
Macrozoobenthos,Boonsri,11-Jan-98,0
Total coliforms,Boonsri,11-Jan-98,0.95
Fecal coliforms,Boonsri,11-Jan-98,0
Water temperature,Kannika,26-Jan-98,1
Dissolved oxygen,Kannika,26-Jan-98,11.55
Ammonium,Kannika,26-Jan-98,0.283333333
Nitrites,Kannika,26-Jan-98,0.03
Nitrates,Kannika,26-Jan-98,1.003333333
Orthophosphate-phosphorus,Kannika,26-Jan-98,0.07
Total phosphorus,Kannika,26-Jan-98,0.096666667
Sodium,Kannika,26-Jan-98,21.48666667
Potassium,Kannika,26-Jan-98,3.233333333
Calcium,Kannika,26-Jan-98,66.93
Magnesium,Kannika,26-Jan-98,9.143333333
Chlorides,Kannika,26-Jan-98,27.19666667
Sulphates,Kannika,26-Jan-98,40.28666667
Iron,Kannika,26-Jan-98,0.103333333
Manganese,Kannika,26-Jan-98,0
Zinc,Kannika,26-Jan-98,0
Copper,Kannika,26-Jan-98,10
Chromium,Kannika,26-Jan-98,10
Lead,Kannika,26-Jan-98,0
Cadmium,Kannika,26-Jan-98,0
Mercury,Kannika,26-Jan-98,0
Nickel,Kannika,26-Jan-98,30
Arsenic,Kannika,26-Jan-98,0
